turfID,site,year,old,new,special,cover1,special2,cover2
M3-2,A,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
M7-2,A,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
L1-C,L,2012,Ajuga decumbens,Prunella hispida,,,,
L1-C,L,2013,Clinopodium polycephalum,Prunella hispida,,,,
L1-C,L,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
L1-C,L,2014,Ajuga decumbens,,Clinopodium polycephalum,12,Prunella hispida,6
L3-C,L,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
L3-C,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-C,L,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-C,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-C,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L7-C,L,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
L7-C,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L7-C,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L1-O,L,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
L1-O,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L1-O,L,2014,Clinopodium polycephalum,Prunella hispida,,,,
L1-O,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L2-O,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L2-O,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L3-O,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-O,L,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-O,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-O,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L6-O,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L7-O,L,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
L7-O,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L7-O,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L1-OTC,L,2012,Ajuga decumbens,Clinopodium polycephalum,,,,
L2-OTC,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L2-OTC,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L3-OTC,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-OTC,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-OTC,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L4-OTC,L,2014,Clinopodium polycephalum,Prunella hispida,,,,
L5-OTC,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
L6-OTC,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L6-OTC,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L7-OTC,L,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L7-OTC,L,2015,Ajuga decumbens,Clinopodium polycephalum,,,,
M1-1,L,2014,Prunella hispida,Clinopodium polycephalum,,,,
M2-1,L,2014,Prunella hispida,Clinopodium polycephalum,,,,
M3-1,L,2014,Prunella hispida,Clinopodium polycephalum,,,,
H1-3,L,2014,Prunella hispida,Clinopodium polycephalum,,,,
H2-3,L,2014,Prunella hispida,Clinopodium polycephalum,,,,
H2-3,L,2015,Prunella hispida,Clinopodium polycephalum,,,,
H3-3,L,2014,Prunella hispida,Clinopodium polycephalum,,,,
L2-2,M,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L3-2,M,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L5-2,M,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L6-2,M,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
L6-2,M,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
M5-C,M,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
M2-O,M,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
M3-O,M,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
M3-O,M,2015,Prunella hispida,Clinopodium polycephalum,,,,
